Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:42:55.419546,10.0.28.55,victim,DDoS,0.8600,26.40,0.14,"DROP_RULE_INSTALLED(ip=10.0.28.55, priority=100, timeout=300s)"
2026-05-24T22:42:55.449365,10.0.3.245,victim,DDoS,0.8600,26.87,0.16,"DROP_RULE_INSTALLED(ip=10.0.3.245, priority=100, timeout=300s)"
2026-05-24T22:42:55.478601,10.0.99.174,victim,DDoS,0.7800,26.81,0.16,"DROP_RULE_INSTALLED(ip=10.0.99.174, priority=100, timeout=300s)"
2026-05-24T22:42:59.626655,10.0.61.76,victim,DDoS,0.8600,25.56,0.16,"DROP_RULE_INSTALLED(ip=10.0.61.76, priority=100, timeout=300s)"
2026-05-24T22:42:59.716601,10.0.81.46,victim,DDoS,0.8600,25.67,0.15,"DROP_RULE_INSTALLED(ip=10.0.81.46, priority=100, timeout=300s)"
2026-05-24T22:42:59.747294,10.0.222.209,victim,DDoS,0.8600,27.42,0.25,"DROP_RULE_INSTALLED(ip=10.0.222.209, priority=100, timeout=300s)"
2026-05-24T22:42:59.786175,10.0.94.12,victim,DDoS,0.8600,33.12,0.23,"DROP_RULE_INSTALLED(ip=10.0.94.12, priority=100, timeout=300s)"
2026-05-24T22:42:59.817911,10.0.171.237,victim,DDoS,0.8600,27.94,0.15,"DROP_RULE_INSTALLED(ip=10.0.171.237, priority=100, timeout=300s)"
2026-05-24T22:42:59.846366,10.0.57.1,victim,DDoS,0.8600,25.83,0.18,"DROP_RULE_INSTALLED(ip=10.0.57.1, priority=100, timeout=300s)"
2026-05-24T22:42:59.879997,10.0.152.126,victim,DDoS,0.8600,30.33,0.25,"DROP_RULE_INSTALLED(ip=10.0.152.126, priority=100, timeout=300s)"
2026-05-24T22:42:59.909865,10.0.115.4,victim,DDoS,0.8600,26.87,0.16,"DROP_RULE_INSTALLED(ip=10.0.115.4, priority=100, timeout=300s)"
2026-05-24T22:42:59.938957,10.0.238.95,victim,DDoS,0.8600,26.74,0.14,"DROP_RULE_INSTALLED(ip=10.0.238.95, priority=100, timeout=300s)"
2026-05-24T22:43:00.109503,10.0.226.160,victim,DDoS,0.8600,26.29,0.14,"DROP_RULE_INSTALLED(ip=10.0.226.160, priority=100, timeout=300s)"
2026-05-24T22:43:00.167796,10.0.59.33,victim,DDoS,0.8600,26.54,0.14,"DROP_RULE_INSTALLED(ip=10.0.59.33, priority=100, timeout=300s)"
2026-05-24T22:43:00.196546,10.0.216.42,victim,DDoS,0.8600,25.91,0.13,"DROP_RULE_INSTALLED(ip=10.0.216.42, priority=100, timeout=300s)"
2026-05-24T22:43:00.254493,10.0.38.32,victim,DDoS,0.8600,27.14,0.19,"DROP_RULE_INSTALLED(ip=10.0.38.32, priority=100, timeout=300s)"
2026-05-24T22:43:00.286461,10.0.43.29,victim,DDoS,0.8600,28.75,0.19,"DROP_RULE_INSTALLED(ip=10.0.43.29, priority=100, timeout=300s)"
2026-05-24T22:43:00.453950,10.0.246.157,victim,DDoS,0.8600,25.20,0.14,"DROP_RULE_INSTALLED(ip=10.0.246.157, priority=100, timeout=300s)"
2026-05-24T22:43:00.538829,10.0.144.19,victim,DDoS,0.8600,25.59,0.18,"DROP_RULE_INSTALLED(ip=10.0.144.19, priority=100, timeout=300s)"
2026-05-24T22:43:00.568421,10.0.187.216,victim,DDoS,0.8600,26.37,0.16,"DROP_RULE_INSTALLED(ip=10.0.187.216, priority=100, timeout=300s)"
2026-05-24T22:43:00.596914,10.0.90.93,victim,DDoS,0.7200,26.32,0.16,"DROP_RULE_INSTALLED(ip=10.0.90.93, priority=100, timeout=300s)"
2026-05-24T22:43:00.625120,10.0.225.90,victim,DDoS,0.8000,25.99,0.16,"DROP_RULE_INSTALLED(ip=10.0.225.90, priority=100, timeout=300s)"
2026-05-24T22:43:00.682217,10.0.55.163,victim,DDoS,0.8600,25.68,0.17,"DROP_RULE_INSTALLED(ip=10.0.55.163, priority=100, timeout=300s)"
2026-05-24T22:43:00.921256,10.0.208.77,victim,DDoS,0.8600,27.69,0.17,"DROP_RULE_INSTALLED(ip=10.0.208.77, priority=100, timeout=300s)"
2026-05-24T22:43:00.979120,10.0.158.244,victim,DDoS,0.8600,26.50,0.14,"DROP_RULE_INSTALLED(ip=10.0.158.244, priority=100, timeout=300s)"
2026-05-24T22:43:01.035854,10.0.202.173,victim,DDoS,0.8600,25.94,0.15,"DROP_RULE_INSTALLED(ip=10.0.202.173, priority=100, timeout=300s)"
2026-05-24T22:43:01.064998,10.0.9.203,victim,DDoS,0.8600,26.60,0.16,"DROP_RULE_INSTALLED(ip=10.0.9.203, priority=100, timeout=300s)"
2026-05-24T22:43:01.093660,10.0.41.232,victim,DDoS,0.8600,26.10,0.15,"DROP_RULE_INSTALLED(ip=10.0.41.232, priority=100, timeout=300s)"
2026-05-24T22:43:01.121435,10.0.100.201,victim,DDoS,0.5200,26.11,0.15,"DROP_RULE_INSTALLED(ip=10.0.100.201, priority=100, timeout=300s)"
